VT,MT,NAB_NAD,NAB_LED,BIKOND_LA,BIKOND_KO,OPS_NAD_FLEX,NAB_SUP,OPS_POT,NAB_POT,Somatotypo_Endo,Somatotypo_Meso,Somatotypo_Ecto,Eston_Endo,Eston_Meso,Eston_Ecto
166.5,52,8.4,8.67,5.5,7.5,25.5,7,31.5,10.87,2.46082,1.44757,4.07308,2.43,1.45,4.12
160,52.5,18.4,14.9,5.5,8.4,28.7,14.67,34.1,15.8,5.10084,3.5928,2.69841,4.91,3.59,2.74
171.1,52.7,7.97,7.73,5.5,8.3,24,5.13,32,4.67,2.00855,1.23217,4.82598,1.99,1.23,4.87
159.4,50.9,13.9,9.63,5.4,8.4,30.5,7.07,32,5.3,3.34519,3.83955,2.90426,3.29,3.84,2.95
176.2,79,26.03,13.6,6.5,9.7,34.4,17.53,39.4,13.53,5.45539,4.9279,1.47901,5.21,4.93,1.52
166,54.65,11.47,7.73,5.9,8.5,25.5,8.93,34,9.27,2.93429,2.82781,3.44008,2.9,2.83,3.48
175.1,77,16,17.73,6.2,8.6,35,12.07,36,19.17,4.51676,3.81666,1.54777,4.39,3.82,1.59
158.3,50.5,14.03,6,5.6,8.1,27.2,9,33.5,11.13,3.19042,3.49974,2.76932,3.14,3.5,2.81
175.1,74,20.07,13.93,6.2,9,34,13.53,36,23.33,4.59137,3.72557,1.94952,4.53,3.73,1.99
174.7,71,12.73,13,7,9.3,32.7,15,37,15,4.0558,4.83337,2.30288,3.96,4.83,2.35
166.5,57.5,14.67,7.6,6.3,8.2,30.2,8.6,39.4,11.13,3.22704,4.58811,2.99689,3.18,4.59,3.04
176.2,66.1,11.57,7.77,6.4,8.6,28.5,9.4,35.6,10.2,2.81549,2.78546,3.31945,2.78,2.79,3.36
150.2,50.1,16.77,11.53,5.8,8.2,27.1,8.07,31.1,21.67,4.20434,4.16613,1.2342,4.1,4.17,1.28
163.5,66.7,20,26.63,5.7,9.2,31.8,18,39,32.27,6.39172,4.86315,1.03624,5.96,4.86,1.06
175.2,70,19.17,12.87,6.9,9.4,29.5,17.67,36.5,20.8,4.86023,3.84562,2.53806,4.7,3.85,2.58
166.3,62.4,13.53,12.77,5.5,8.5,30.5,9.2,34,8.27,3.72272,3.36268,2.11082,3.65,3.36,2.15
164.2,61.3,15,8.67,5.8,8.7,30,8.87,35,12.33,3.45559,3.98938,1.90345,3.4,3.99,1.95
158.1,60,18.73,10.67,5.3,8.2,31,9.2,36.2,14,4.23711,4.34317,1.06802,4.13,4.34,1.09
165.9,62.5,15.13,10.2,6.1,9.2,30,6.33,35.1,11.27,3.32491,4.3553,2.02066,3.27,4.36,2.06
170.5,85,19.07,18.97,7.2,9,34.9,24.07,44.2,23.13,5.99723,6.69759,0.32418,5.66,6.7,0.35
171.2,58.5,13.93,10.2,6,8.5,26.2,11.93,34,8.47,3.67369,2.33064,3.70218,3.6,2.33,3.75
175.7,71.5,14.6,11.4,6.9,9,30.3,11.47,34.7,10.83,3.71913,3.64675,2.40709,3.65,3.65,2.45
166.1,64.1,15.6,14.2,5.1,9,31,9.13,37.5,16.47,4.07631,3.83275,1.80048,3.98,3.83,1.84
170,70.2,13.8,9.83,5.8,9,32,6.4,36.5,8.67,3.06727,4.10887,1.58576,3.02,4.11,1.63
166,60.4,15.6,10.3,5.8,8.6,29.4,6.33,36.5,7.67,3.38424,3.88593,2.38993,3.33,3.89,2.43
183.2,85.5,17.13,12.67,7.3,9.9,37.5,9.4,38,8.7,3.7314,5.41998,1.86022,3.66,5.42,1.91
181.5,78.2,18.67,13.27,7.1,10.6,37.8,6.3,40,5.2,3.67469,6.29758,2.48839,3.6,6.3,2.53
181.5,72.5,9.77,8.43,7.1,8.9,37.1,6.33,39,5.87,2.27642,5.13981,3.28215,2.25,5.14,3.33
182.5,76.7,9.87,8.53,7.3,10.3,38.7,6.6,40,5.53,2.3126,6.48721,2.8619,2.29,6.49,2.91
179.7,93.4,9.67,9.4,7.5,9.7,40.5,7.27,39,7.27,2.49987,6.81815,0.70778,2.47,6.82,0.74
170,62.9,5.93,7.47,6.5,9.1,30.5,5.6,34.5,6.53,1.80525,4.34798,2.7103,1.79,4.35,2.75
183.7,87.7,13.17,15.03,8.7,10.2,36.3,13.33,37,14.4,3.93748,6.33206,1.68591,3.85,6.33,1.73
184.7,89.7,12.03,15.5,7,11.4,36,7.67,42.4,6.73,3.27647,6.42158,1.6228,3.27,6.42,1.67
167.7,62.4,7.67,8.5,6.4,8.4,33,4.4,33,3.73,2.02708,4.38365,2.36919,2.01,4.38,2.41
180,68,5.17,6.23,6.5,9.2,33.5,4.33,36.5,3.87,1.29391,4.04119,3.70102,1.28,4.04,3.75
183.1,73.7,7.3,7.33,7,9.9,32,5.47,36,5.87,1.76431,4.05005,3.38762,1.75,4.05,3.43
186,82,5.5,8.07,7,9.9,36.3,4.13,36,6.13,1.45923,4.5082,2.75907,1.45,4.51,2.81
187,91.5,7.33,11.8,7.2,9.7,39.3,6.07,41,7.2,2.26867,5.74597,1.79705,2.25,5.75,1.84
163.4,61.9,5.53,6.8,6.5,8.6,35,4.07,36,4.27,1.56877,6.04348,1.6566,1.56,6.04,1.7
184,70,6.07,6.93,7.3,10,30.5,6.93,36,7.07,1.73415,3.97145,4.10107,1.72,3.97,4.15
183,67.2,8.13,7.57,6.4,9,30,9.27,35.5,6.2,2.30199,2.53003,4.36876,2.28,2.53,4.42
181,98,7.13,15.47,7.3,10.4,38.5,21.13,42.7,7.73,4.19547,7.157,0.5468,4.09,7.16,0.57
173.2,71.4,7.57,9.73,7.2,8,34.9,6.8,35.3,6.53,2.35502,4.79345,1.98044,2.33,4.79,2.02
178,68,7.43,10.67,6.9,9.5,32,12.07,38,9.2,2.93497,4.65789,3.34234,2.9,4.66,3.39
189,84,8.2,10.33,7.4,10,36,6.83,43.3,8.13,2.25722,5.55444,3.00977,2.24,5.55,3.06
190.3,85.2,10.13,10.93,7.2,9.7,38.1,11.8,38.7,13.07,2.994,0.81062,3.07702,2.95,4.57,3.12
182.5,80,8.47,7.53,7.2,10,35,4.67,39,7.47,1.89354,5.35959,2.42349,1.82,5.36,2.47
197.6,88.8,10.27,8.6,7.1,10,34.1,5.4,40,6.33,2.03039,3.27201,3.84105,2.01,3.27,3.89
184,72.3,6.97,8.17,6.4,9.35,29.3,5.47,34.5,6.13,1.69815,2.33972,3.75078,1.79,2.34,3.8
171.5,72.1,8.33,7.8,6.9,9.7,36.5,6.8,37,8.27,2.24777,6.31264,1.58223,2.23,6.31,1.63
183.5,86.3,8.2,14,7,9,37,8.47,38.2,5.1,2.89104,4.74643,1.81556,2.85,4.75,1.86
179.6,76.6,6.97,8.93,9.6,7.8,32,6,34.3,13.6,2.01251,5.0853,2.37574,1.99,5.09,2.42
172.4,76.1,7.77,11.9,7.1,9.3,37.4,6.6,39.3,10.27,2.61163,6.64377,1.20606,2.58,6.64,1.24
187.7,106.3,17.83,13.8,7.4,10.4,35.5,21.67,42,15,4.86374,5.37019,0.71569,4.7,5.37,0.74
180,78.4,6.67,8.33,7.1,9.8,35,6.93,37.5,7.87,2.0104,5.26699,2.20541,1.99,5.27,2.25
183.2,79.2,10.53,10.67,7.4,10.5,32.8,11.6,36.9,7.67,3.11115,4.94634,2.64685,3.07,4.95,2.69
178,68,8.13,10.3,6.7,9.8,30,6.37,32.5,6,2.35856,3.44345,3.34234,2.33,3.44,3.39
187,74.5,5.93,8.67,7.3,9.7,34,5.93,36.6,4.33,1.76452,4.1995,3.95124,1.75,4.2,4
178.5,75.2,10.2,11.47,7.3,9.3,34.5,9.53,37,11.47,3.03308,5.03577,2.37589,2.99,5.04,2.42
